gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
CAPNS2,806.5578961895983,0.2478980827742823,28,CAPNS2,0.38438654,0.961621,-0.112047404,-2.675089619024036,0.0080755104942875,-0.0469257480203198,0.0469257480203198,0.0469257480203198,15344,B_tda_only
BTF3L4,782.497381678248,0.24050300866230007,29,BTF3L4,28.272,33.21811,0.18114233,5.240800124839678,4.915683381468497e-07,0.1126963911824854,0.1126963911824854,0.1126963911824854,10540,B_tda_only
RPRD1B,773.2596784965132,0.23766377180303855,30,RPRD1B,30.901817,35.56621,0.07972288,2.269042239055355,0.0242231851754399,0.0376581567723984,0.0376581567723984,0.0376581567723984,16278,B_tda_only
RHOXF1,772.0048791496376,0.23727810531359445,31,RHOXF1,3.4104161,0.5345344,-1.3317137,-16.101242268550536,1.3128408436472548e-31,-0.6050555372036066,0.6050555372036066,0.6050555372036066,207,B_tda_only
ARF1,748.6045387603693,0.2300859377752562,32,ARF1,453.14594,872.93396,0.87721634,37.25096092028205,3.542356231188232e-112,0.4772567318228211,0.4772567318228211,0.4772567318228211,854,B_tda_only
ZBED2,743.6828114456813,0.2285732295480936,33,ZBED2,0.3002116,1.5888139,0.6530721,15.528792706449863,1.4897820315114528e-41,0.2071110768282347,0.2071110768282347,0.2071110768282347,5944,B_tda_only
OTOP1,730.6777934411107,0.2245760967383985,34,OTOP1,0.03780805,0.05721397,0.011878025,1.4711492490500555,0.1420943573867551,0.0194933222277755,0.0194933222277755,0.0194933222277755,18471,B_tda_only
TPRG1,726.3582440253048,0.22324846976495263,35,TPRG1,11.208234,40.517838,-0.0698998,-0.7055626044363895,0.480847996863173,-0.0089912004553916,0.0089912004553916,0.0089912004553916,19816,B_tda_only
GLYCTK,696.9511485523344,0.21421010733350238,36,GLYCTK,6.8155813,2.815202,-0.66278005,-7.586621979668406,7.648534109888016e-12,-0.3098027970880684,0.3098027970880684,0.3098027970880684,3037,B_tda_only
NCR2,689.5744936078274,0.211942869449316,37,NCR2,0.039889865,0.07615477,0.0149607435,1.46582484748174,0.1438616951488079,0.0220093233151386,0.0220093233151386,0.0220093233151386,18160,B_tda_only
