gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
FSTL1,5.28099973438281,0.0016231317249137062,8442,FSTL1,681.678,270.45142,-1.3826861,-14.145449003694866,5.687568798721089e-29,-0.343931567016109,0.343931567016109,0.343931567016109,2377,D_neither
CDC34,5.280658086753132,0.0016230267184500888,8443,CDC34,53.2989,73.63264,0.39104128,8.05479948263099,1.7954538795808725e-13,0.1764813177449511,0.1764813177449511,0.1764813177449511,7234,D_neither
LOC441454,5.280540167506866,0.0016229904756022914,8444,LOC441454,2.5624697,3.4482312,0.24289978,5.025363171778023,1.4339823968440377e-06,0.1226727367602539,0.1226727367602539,0.1226727367602539,9973,D_neither
FLJ46300,5.280497244095186,0.0016229772829579544,8445,FLJ46300,0.008288326,0.017649533,0.010916383,3.820376498181,0.0001456969473435,0.0434278644883827,0.0434278644883827,0.0434278644883827,15680,D_neither
SNORA52,5.278980774397462,0.001622511191270765,8446,SNORA52,6.0816174,13.638846,-0.025316238,-0.3347656821454831,0.7381914165981736,-0.0065056193586421,0.0065056193586421,0.0065056193586421,20084,D_neither
MARVELD1,5.278145382601373,0.0016222544309990048,8447,MARVELD1,64.0515,56.88446,-0.30881977,-6.047803831084108,7.591192905931724e-09,-0.1111660391837846,0.1111660391837846,0.1111660391837846,10626,D_neither
PHOSPHO1,5.277099156723816,0.0016219328702153084,8448,PHOSPHO1,0.9582028,0.7270301,-0.32378948,-7.43960327884846,7.59851391795851e-12,-0.17922805590539,0.17922805590539,0.17922805590539,7109,D_neither
EXOC5,5.276085960189943,0.0016216214611033187,8449,EXOC5,18.881126,17.63754,-0.13978577,-3.01523285257964,0.0030145049275396,-0.0717323289228339,0.0717323289228339,0.0717323289228339,13233,D_neither
UEVLD,5.27608126335501,0.001621620017516466,8450,UEVLD,24.008661,26.846743,-0.02550745,-0.4166071054306249,0.677458138729544,-0.0080405907298907,0.0080405907298907,0.0080405907298907,19929,D_neither
NSF,5.275987555750859,0.0016215912161923203,8451,NSF,20.59372,35.67838,0.64096594,15.379580053848546,1.9981696651918291e-35,0.2703183915828226,0.2703183915828226,0.2703183915828226,4002,D_neither
VSIG10L,5.274339236209719,0.0016210846000448886,8452,VSIG10L,3.1358688,2.7046964,-0.40476775,-6.835345357602041,1.42768476490442e-10,-0.1401480936331484,0.1401480936331484,0.1401480936331484,9037,D_neither
INSC,5.2739025259773165,0.0016209503757940917,8453,INSC,0.24026078,0.16484866,-0.12804703,-4.653923602422521,7.509816231592232e-06,-0.1260428160318087,0.1260428160318087,0.1260428160318087,9797,D_neither
PRLH,5.273297073960223,0.00162076428822994,8454,PRLH,0.105489716,0.8225858,0.468143,15.530812506872362,4.031155498638873e-44,0.1893343064799011,0.1893343064799011,0.1893343064799011,6655,D_neither
ZNF658,5.272891620457667,0.0016206396708324628,8455,ZNF658,4.916825,2.5933082,-0.7745606,-17.70543488084373,2.211061605500392e-39,-0.3669377536652192,0.3669377536652192,0.3669377536652192,1996,D_neither
RIMBP3C,5.2723210083355045,0.0016204642914185855,8456,RIMBP3C,0.00032934197,0.0004223592,0.00013329618,0.7956629851231392,0.4274104793053941,0.0175676950547112,0.0175676950547112,0.0175676950547112,18724,D_neither
SNORA19,5.2713830066949985,0.001620175993691393,8457,SNORA19,0.47109422,1.1165276,0.0047349036,0.085206027081022,0.9322020922422248,0.0018320183571251,0.0018320183571251,0.0018320183571251,20651,D_neither
RNU6ATAC,5.270581360093064,0.0016199296051102126,8458,RNU6ATAC,0.5608431,7.811571,0.13079733,2.130422719742925,0.0341577252404965,0.0339536369995165,0.0339536369995165,0.0339536369995165,16673,D_neither
TFRC,5.270473395282067,0.0016198964217891147,8459,TFRC,44.315994,89.04286,0.68580914,10.540399536624138,5.8653375637959735e-21,0.1843350269723075,0.1843350269723075,0.1843350269723075,6877,D_neither
MIR3199-1,5.269859967915836,0.001619707882976553,8460,MIR3199-1,0.004659222,0.034640886,0.019381177,2.5077022094009656,0.0125257444007526,0.0319596082314921,0.0319596082314921,0.0319596082314921,16895,D_neither
WIPI2,5.268906563316362,0.0016194148511019233,8461,WIPI2,53.001095,49.877193,-0.12521267,-5.615678605732003,6.236435802174736e-08,-0.0971577044806872,0.0971577044806872,0.0971577044806872,11498,D_neither
FKBP1A,5.268337551053745,0.0016192399634098627,8462,FKBP1A,218.86974,225.77289,0.011794567,0.2682755877170885,0.7888573439336448,0.0064780513449847,0.0064780513449847,0.0064780513449847,20091,D_neither
LOC144486,5.267631079201348,0.0016190228270845345,8463,LOC144486,0.616691,0.69062364,0.04247135,1.5657278391174327,0.1194642921631891,0.0361462249984057,0.0361462249984057,0.0361462249984057,16434,D_neither
TAGLN,5.2651981261631935,0.0016182750513867355,8464,TAGLN,1860.5531,714.9378,-1.6667385,-19.7623490789038,5.957563273768151e-46,-0.3754729556512424,0.3754729556512424,0.3754729556512424,1886,D_neither
CCDC90B,5.264789166244155,0.0016181493562812258,8465,CCDC90B,62.723846,51.79365,-0.35663033,-12.665398693991992,2.193628617379022e-28,-0.1995427003494593,0.1995427003494593,0.1995427003494593,6243,D_neither
RGS6,5.262560065856074,0.001617464235330669,8466,RGS6,2.7696862,0.5232573,-1.322082,-25.04658756773689,1.4723409861880318e-52,-0.5906125493493924,0.5906125493493924,0.5906125493493924,255,D_neither
ZNF334,5.262370038076618,0.001617405829700492,8467,ZNF334,7.6447663,3.5472546,-1.247956,-14.521016480357211,7.383627106781782e-31,-0.3099225453840868,0.3099225453840868,0.3099225453840868,3035,D_neither
UTP11L,5.26233871842969,0.001617396203509411,8468,UTP11L,39.797733,44.93414,0.117185116,4.151879137130522,4.9840275631992935e-05,0.0771171788014234,0.0771171788014234,0.0771171788014234,12841,D_neither
PNPT1,5.262034773714918,0.001617302785154179,8469,PNPT1,18.510672,23.552814,0.239048,5.955108065138466,1.3219431835325426e-08,0.1143960726835661,0.1143960726835661,0.1143960726835661,10451,D_neither
EBF4,5.261194106218497,0.001617044403379482,8470,EBF4,15.961331,20.410547,0.06542945,0.6685566977972193,0.5047782730880548,0.015429721948063,0.015429721948063,0.015429721948063,19009,D_neither
