gene_set,score_method,n,events,cox_hr_perSD,cox_p,cox_concordance,km_logrank_p
H2C_37,cox_beta,1074,150,1.8702209689465048,1.066242650651189e-14,0.6999591595952263,2.0298752880681794e-07
H2C_37,weighted,1074,150,0.7842529383842093,0.006383947550868412,0.5812043381585515,0.008962720098380958
H2C_37,pca,1074,150,1.056130431988606,0.5277606849786616,0.47681928877191393,0.7673058272551283
