endpoint,model,gene_set,score_method,n,events,hr,ci_lower,ci_upper,p,concordance,covariates
OS,univariate,H2C_37,cox_beta,1074,150,1.4340344914574477,1.2659921769502145,1.6243820144636576,1.4369099230202053e-08,0.6999591595952263,
OS,multivariate,H2C_37,cox_beta,1060,150,1.3629238669406625,1.201003396907073,1.5466746154592406,1.5999573028924054e-06,0.8050521691378364,"[""age_years"", ""stage_I"", ""stage_II"", ""stage_III"", ""stage_IV"", ""any_treatment_yes""]"
OS,univariate,Euclidean_top37,pca,1074,150,0.9328634599377159,0.8244266297209175,1.0555629858554612,0.2703364352213153,0.5638093509400857,
OS,multivariate,Euclidean_top37,pca,1060,150,0.9573394250420507,0.8448034406842753,1.084866290314226,0.4944189295455774,0.77680151321008,"[""age_years"", ""stage_I"", ""stage_II"", ""stage_III"", ""stage_IV"", ""any_treatment_yes""]"
OS,univariate,Random_37,pca,1074,150,1.0390549688153168,0.9198891314717922,1.1736579890800738,0.5376121495562616,0.49124956512531953,
OS,multivariate,Random_37,pca,1060,150,0.977205300474472,0.8623962265368157,1.1072986753550422,0.7176486280118013,0.7770150710842638,"[""age_years"", ""stage_I"", ""stage_II"", ""stage_III"", ""stage_IV"", ""any_treatment_yes""]"
